series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_width,pixel_half_height,support_pixels,marker_shape,evidence_status,segment_break,status,candidate_id,guide_residual_px
uct-test-a22,0.6830570699480378,0.20101832338604597,0.001434130905212605,0.010677917021926886,362,354.0,,4.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000205,2.8563033958051847
uct-test-a22,0.6859253317584628,0.20339119383536308,0.001434130905212605,0.008305046572609887,363,353.0,,3.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000206,2.8010023439111364
uct-test-a22,0.6887935935688878,0.2057640642846802,0.001434130905212605,0.008305046572609887,364,352.0,,3.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000207,2.7117594126739277
uct-test-a22,0.6916618553793128,0.19627258248741175,0.001434130905212605,0.010677917021926997,365,356.0,,4.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000208,2.412193842620866
uct-test-a22,0.6945301171897378,0.2105098051833143,0.001434130905212605,0.009491481797268442,366,350.0,,4.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000209,2.4283741333116495
uct-test-a22,0.6973983790001628,0.21525554608194852,0.001434130905212605,0.013050787471243996,367,348.0,,5.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000210,3.2326948957569357
uct-test-a22,0.7002666408105878,0.22000128698058274,0.001434130905212605,0.015423657920561107,368,346.0,,6.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000211,4.0
uct-test-a22,0.7031349026210127,0.2057640642846802,0.001434130905212605,0.016610093145219662,369,352.0,,7.0,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000212,3.6535396724173097
uct-test-a22,0.7060031644314377,0.20339119383536308,0.001434130905212605,0.017796528369878217,370,353.0,,7.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000213,7.072420866907294
uct-test-a22,0.7088714262418627,0.21525554608194852,0.001434130905212605,0.017796528369878217,371,348.0,,7.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000214,5.198413468616025
uct-test-a22,0.7117396880522877,0.24135712102443663,0.001434130905212605,0.018982963594536773,372,337.0,,8.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000215,2.026712637310993
uct-test-a22,0.7146079498627127,0.25084860282170496,0.001434130905212605,0.015423657920561107,373,333.0,,6.5,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000216,1.6611875657275732
uct-test-a22,0.7174762116731377,0.2555943437203392,0.001434130905212605,0.014237222695902552,374,331.0,,6.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000217,1.2367585685118456
uct-test-a22,0.7203444734835627,0.27457730731487595,0.001434130905212605,0.004745740898634221,375,323.0,,2.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000218,1.3911043494468345
uct-test-a22,0.7232127352939877,0.27457730731487595,0.001434130905212605,0.018982963594536773,376,323.0,,8.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000219,4.396993565542232
uct-test-a22,0.7260809971044127,0.29830601180804694,0.001434130905212605,0.015423657920561218,377,313.0,,6.5,13,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000220,0.54282219862489
uct-test-a22,0.7289492589148376,0.3172889754025837,0.001434130905212605,0.013050787471244107,378,305.0,,5.5,8,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000221,1.0118485650530147
uct-test-a22,0.7318175207252626,0.3220347163012178,0.001434130905212605,0.009491481797268442,379,303.0,,4.0,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000222,3.674751159654363
uct-test-a22,0.7346857825356876,0.34813629124370593,0.001434130905212605,0.010677917021926997,380,292.0,,4.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000223,0.4556087421072448
uct-test-a22,0.7375540443461126,0.3623735139396085,0.001434130905212605,0.011864352246585441,381,286.0,,5.0,8,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000224,0.5388416148081774
uct-test-a22,0.7404223061565376,0.37898360708482814,0.001434130905212605,0.013050787471243996,382,279.0,,5.5,8,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000225,0.5998721155461908
uct-test-a22,0.7432905679669626,0.400339441128682,0.001434130905212605,0.016610093145219662,383,270.0,,7.0,9,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000226,1.330747354747075
uct-test-a22,0.7461588297773878,0.4193224047232188,0.001434130905212605,0.017796528369878217,384,262.0,,7.5,10,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000227,2.311246910926002
uct-test-a22,0.7490270915878128,0.4430511092163897,0.001434130905212605,0.017796528369878217,385,252.0,,7.5,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000228,5.399856667844631
uct-test-a22,0.7518953533982378,0.46203407281092645,0.001434130905212605,0.004745740898634221,386,244.0,,2.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000229,6.654806740357174
uct-test-a22,0.7605001388295127,0.5,0.001434130905212605,0.0035593056739756657,389,228.0,,1.5,4,,visible_pixel_support,True,visible_candidate,line-uct-test-a22-000230,4.0
uct-test-a22,0.7662366624503627,0.5403387976383907,0.001434130905212605,0.0011864352246585552,391,211.0,,0.5,2,,visible_pixel_support,True,visible_candidate,line-uct-test-a22-000231,8.1277307483914
uct-test-a22,0.7691049242607877,0.5569488907836103,0.001434130905212605,0.0023728704493171104,392,204.0,,1.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000232,7.866776277043471
uct-test-a22,0.7719731860712127,0.5711861134795129,0.001434130905212605,0.004745740898634221,393,198.0,,2.0,5,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000233,6.295317649409782
uct-test-a22,0.7748414478816377,0.5877962066247326,0.001434130905212605,0.0035593056739757767,394,191.0,,1.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000234,5.592886671047836
uct-test-a22,0.7777097096920627,0.599660558871318,0.001434130905212605,0.009491481797268442,395,186.0,,4.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000235,2.939015147515022
uct-test-a22,0.7805779715024876,0.6162706520165377,0.001434130905212605,0.009491481797268442,396,179.0,,4.0,7,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000236,2.5132348843688987
uct-test-a22,0.7834462333129126,0.6305078747124403,0.001434130905212605,0.013050787471244107,397,173.0,,5.5,10,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000237,1.4950776871668836
uct-test-a22,0.7863144951233376,0.6376264860603915,0.001434130905212605,0.017796528369878217,398,170.0,,7.5,9,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000238,1.9359246385335211
uct-test-a22,0.7891827569337626,0.6494908383069771,0.001434130905212605,0.014237222695902663,399,165.0,,6.0,8,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000239,2.60024028717487
uct-test-a22,0.7920510187441876,0.6661009314521967,0.001434130905212605,0.005932176123292776,400,158.0,,2.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000240,0.31833745319966056
uct-test-a22,0.7949192805546126,0.6684738019015138,0.001434130905212605,0.0035593056739756657,401,157.0,,1.5,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000241,2.910684331050419
uct-test-a22,0.7977875423650376,0.673219542800148,0.001434130905212605,0.0011864352246586662,402,155.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000242,3.197749115169671
uct-test-a22,0.8035240659858875,0.6589823201042455,0.001434130905212605,0.0011864352246586662,404,161.0,,0.5,1,,visible_pixel_support,True,visible_candidate,line-uct-test-a22-000243,9.965176546809204
uct-test-a22,0.8063923277963125,0.6637280610028796,0.001434130905212605,0.0011864352246585552,405,159.0,,0.5,1,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000244,7.862001943634596
uct-test-a22,0.8092605896067375,0.6684738019015138,0.001434130905212605,0.0023728704493171104,406,157.0,,1.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000245,5.692419825072875
uct-test-a22,0.8121288514171625,0.6898296359453677,0.001434130905212605,0.011864352246585552,407,148.0,,5.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000246,3.54162617427923
uct-test-a22,0.8149971132275875,0.6874567654960506,0.001434130905212605,0.009491481797268442,408,149.0,,4.0,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000247,2.8381924198250488
uct-test-a22,0.8178653750380125,0.6755924132494651,0.001434130905212605,0.008305046572609887,409,154.0,,3.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000248,1.80466472303209
uct-test-a22,0.8207336368484375,0.6803381541480993,0.001434130905212605,0.007118611347951331,410,152.0,,3.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000249,0.6111111111111143
uct-test-a22,0.8236018986588625,0.6827110245974164,0.001434130905212605,0.005932176123292665,411,151.0,,2.5,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000250,2.083576287657934
uct-test-a22,0.8264701604692875,0.6922025063946848,0.001434130905212605,0.0011864352246586662,412,147.0,,0.5,2,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000251,6.610787172011641
uct-test-a22,0.8293384222797127,0.6755924132494651,0.001434130905212605,0.009491481797268442,413,154.0,,4.0,4,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000252,0.19080012957564918
uct-test-a22,0.8322066840901376,0.673219542800148,0.001434130905212605,0.011864352246585552,414,155.0,,5.0,6,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000253,0.1783284742468254
uct-test-a22,0.8350749459005626,0.673219542800148,0.001434130905212605,0.011864352246585552,415,155.0,,5.0,3,,visible_pixel_support,False,visible_candidate,line-uct-test-a22-000254,0.5014577259475175
