series,x,y,x_uncertainty,y_uncertainty,pixel_x,pixel_y,pixel_half_height,support_pixels,support_x_min,support_x_max,guide_residual_px,group_assignment_cost,competing_series,line_semantics,evidence_status,segment_break,status,candidate_id
test-0deg,0.03252173913043476,117.83109273301986,8.695652173913021e-05,0.14095799206917548,314,128.5,0.5,2,314,314,0.3187369114228602,8.493736911422861,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000084
test-0deg,0.03269565217391302,117.83109273301986,8.695652173913021e-05,0.14095799206917548,315,128.5,0.5,2,315,315,0.4549544642773071,8.454954464277307,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000085
test-0deg,0.03286956521739128,118.11300871715821,8.695652173913021e-05,0.14095799206917548,316,127.5,0.5,2,316,316,0.21776546908766647,8.567765469087666,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000086
test-0deg,0.03304347826086954,118.39492470129656,8.695652173913021e-05,0.14095799206918969,317,126.5,0.5,2,317,317,0.03171970969648896,8.381719709696489,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000087
test-0deg,0.0332173913043478,118.53588269336575,8.695652173913021e-05,0.28191598413836516,318,126.0,1.0,3,318,318,0.20508311522016243,8.380083115220163,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000088
test-0deg,0.03339130434782606,118.8177986775041,8.695652173913021e-05,0.28191598413835095,319,125.0,1.0,3,319,319,0.07324186886717143,8.423241868867171,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000089
test-0deg,0.033565217391304324,119.09971466164245,8.695652173913021e-05,0.28191598413835095,320,124.0,1.0,3,320,320,0.36811047466319735,6.234029689476065,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000090
mfh-0deg,0.033565217391304324,126.85240422544717,8.695652173913021e-05,0.14095799206918969,320,96.5,0.5,2,320,320,5.515919214812868,6.234029689476065,,dashed,visible_pixel_support,True,visible_candidate,line-mfh-0deg-000014
test-0deg,0.033739130434782584,119.24067265371163,8.695652173913021e-05,0.14095799206917548,321,123.5,0.5,2,321,321,0.1809385148726932,6.113461606532715,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000091
mfh-0deg,0.033739130434782584,126.99336221751635,8.695652173913021e-05,0.28191598413836516,321,96.0,1.0,3,321,321,5.582523091660022,6.113461606532715,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000015
test-0deg,0.033913043478260844,119.52258863784998,8.695652173913021e-05,0.14095799206917548,322,122.5,0.5,2,322,322,0.5131418022003231,6.684051912129854,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000092
mfh-0deg,0.033913043478260844,127.13432020958552,8.695652173913021e-05,0.42287397620754064,322,95.5,1.5,4,322,322,5.645910109929531,6.684051912129854,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000016
test-0deg,0.034086956521739105,119.66354662991915,8.695652173913021e-05,0.28191598413835095,323,122.0,1.0,3,323,323,0.366136149350865,6.422221809476545,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000093
mfh-0deg,0.034086956521739105,127.2752782016547,8.695652173913021e-05,0.28191598413835095,323,95.0,1.0,3,323,323,5.70608566012568,6.422221809476545,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000017
test-0deg,0.034260869565217365,119.66354662991915,8.695652173913021e-05,0.28191598413835095,324,122.0,1.0,3,324,324,0.2586626309709743,6.196717763723657,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000094
mfh-0deg,0.034260869565217365,127.41623619372388,8.695652173913021e-05,0.4228739762075264,324,94.5,1.5,4,324,324,5.763055132752683,6.196717763723657,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000018
test-0deg,0.03443478260869563,119.9454626140575,8.695652173913715e-05,0.28191598413835095,325,121.0,1.0,3,325,325,0.1401612739395688,6.156985192254393,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000095
mfh-0deg,0.03443478260869563,127.69815217786223,8.695652173913715e-05,0.42287397620754064,325,93.5,1.5,4,325,325,5.3168239183148245,6.156985192254393,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000019
test-0deg,0.03460869565217389,120.0864206061267,8.695652173913021e-05,0.14095799206918969,326,120.5,0.5,2,326,326,0.0640236767871869,6.1064210841035615,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000096
mfh-0deg,0.03460869565217389,127.69815217786223,8.695652173913021e-05,0.42287397620754064,326,93.5,1.5,4,326,326,5.867397407316375,6.1064210841035615,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000020
test-0deg,0.034782608695652154,120.22737859819586,8.695652173913021e-05,0.28191598413835095,327,120.0,1.0,3,327,327,0.014340390276643689,5.954121380538219,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000097
mfh-0deg,0.034782608695652154,127.98006816200058,8.695652173913021e-05,0.42287397620754064,327,92.5,1.5,4,327,327,5.414780990261576,5.954121380538219,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000021
test-0deg,0.034956521739130414,120.5092945823342,8.695652173913021e-05,0.28191598413836516,328,119.0,1.0,3,328,328,0.4925272271126744,6.801507284767373,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000098
mfh-0deg,0.034956521739130414,127.98006816200058,8.695652173913021e-05,0.42287397620754064,328,92.5,1.5,4,328,328,5.958980057654699,6.801507284767373,,dashed,visible_pixel_support,False,visible_candidate,line-mfh-0deg-000022
test-0deg,0.035130434782608674,120.5092945823342,8.695652173913021e-05,0.28191598413836516,329,119.0,1.0,3,329,329,0.0,5.85,,solid,visible_pixel_support,False,visible_candidate,line-test-0deg-000099
